NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,6,5,319.3,250000000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
Терра-недвижимость,real_estate_agent,Москва,sale,flat,4,5,400.0,99000000.0,Южное Тушино,проезд Досфлота,16К1,Сходненская,
КОРТРОС,developer,Москва,sale,flat,24,5,118.89,51003810.0,Останкинский,,,Алексеевская,АйЛав ЖК
Yhome,real_estate_agent,Москва,sale,flat,17,5,310.0,330000000.0,Пресненский,Звенигородское шоссе,11,Улица 1905 года,Дизайнерский дом Eleven
Whitewill,real_estate_agent,Москва,sale,flat,19,5,147.9,95000000.0,Алексеевский,Новоалексеевская ,16С3,Алексеевская,Серебряный фонтан
Донстрой,developer,Москва,sale,flat,19,5,224.4,308774400.0,Замоскворечье,Большая Татарская ,35С7-9,Новокузнецкая,Татарская 35
Whitewill,real_estate_agent,Москва,sale,flat,8,5,340.0,490000000.0,Арбат,Большой Афанасьевский переулок,28,Арбатская,"Большой Афанасьевский пер, вл.24"
Донстрой,developer,Москва,sale,flat,24,5,182.1,322134900.0,Замоскворечье,Большая Татарская ,35С7-9,Новокузнецкая,Татарская 35
Центрис,real_estate_agent,Москва,sale,flat,11,5,320.0,534765000.0,Хамовники, Усачева,2С3,Фрунзенская,Фьюжн парк
Sminex,developer,Москва,sale,flat,8,5,459.4,2147483647.0,Якиманка,,,Полянка,Лаврушинский ЖК
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,4,5,192.1,112000000.0,Крылатское,Островной проезд,9К1,Молодёжная,Остров Фантазий
Имена,developer,Москва,sale,flat,14,5,158.27,144342240.0,Дорогомилово,1-й Можайский тупик,8АС1,Киевская,D'ORO MILLE
Intermark Real Estate,real_estate_agent,Москва,sale,flat,7,5,242.0,200000000.0,Пресненский,Никитский бульвар,12,Арбатская,
Regions Development,developer,Москва,sale,flat,24,5,162.2,76617580.0,Нагатинский затон,проспект Андропова,9/1,Технопарк,Dream Towers
Intermark Real Estate,real_estate_agent,Москва,sale,flat,7,5,271.7,294000000.0,Хамовники,Смоленский бульвар,24к3,Смоленская,Клубный дом на Смоленском бульваре
Hutton Development,developer,Москва,sale,flat,6,5,239.3,502530000.0,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,4,5,396.0,997920000.0,Таганский, Солянка,7,Китай-город,Дом с Атлантами
Донстрой,developer,Москва,sale,flat,22,5,144.8,89862880.0,Хорошево-Мневники,Жилой комплекс остров,7,Терехово ,Остров
Космополис,real_estate_agent,Москва,sale,flat,23,5,199.0,59980000.0,Гагаринский,Ломоносовский проспект,7К5,Вавиловская,
Киноцентр,developer,Москва,sale,flat,20,5,216.0,220320000.0,Пресненский, Красная Пресня,3,Краснопресненская,SkyView
Kalinka Group,real_estate_agent,Москва,sale,flat,37,5,216.4,130000000.0,Тропарево-Никулино,проспект Вернадского,94к1,Тропарёво,Миракс Парк
Tekta Group,developer,Москва,sale,flat,27,5,144.5,81165650.0,Даниловский,,1,Крестьянская застава,Эра ЖК
Kalinka Group,real_estate_agent,Москва,sale,flat,6,5,225.0,620000000.0,Пресненский,Большой Козихинский переулок,15,Пушкинская,Дом Бакст на Патриарших
Sminex,developer,Москва,sale,flat,23,5,298.3,472040000.0,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК
Whitewill,real_estate_agent,Москва,sale,flat,9,5,162.0,265500000.0,Арбат, Малая Молчановка,8С1,Арбатская,
Tekta Group,developer,Москва,sale,flat,27,5,144.0,79617600.0,Даниловский,,1,Крестьянская застава,Эра ЖК
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,10,5,250.5,225000000.0,Хамовники,3-я Фрунзенская ,5к1,Фрунзенская,Спорт Хаус
ANT Development,developer,Москва,sale,flat,13,5,265.4,415496731.0,Дорогомилово,,3к2,Парк Победы,Виктори Парк Резиденсез ЖК
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,3,5,347.2,166560000.0,Раменки,Минская ,1Гк7,Ломоносовский проспект,
Донстрой,developer,Москва,sale,flat,16,5,218.0,206010000.0,Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река
Kalinka Group,real_estate_agent,Москва,sale,flat,5,5,189.0,129000000.0,Покровское-Стрешнево,Береговая ,4к10,Стрешнево,Покровский берег
Sminex,developer,Москва,sale,flat,22,5,265.6,390660000.0,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК
Contact Real Estate,real_estate_agent,Москва,sale,flat,7,5,267.3,294000000.0,Хамовники,Смоленский бульвар,24к3,Смоленская,Клубный дом на Смоленском бульваре
Whitewill,real_estate_agent,Москва,sale,flat,13,5,136.62,105000000.0,Раменки,Минская ,1ГК6,Минская,Собрание клубных домов West Garden
